FEEC essencial                             pico en producción                        altitud  distancia
----------------------------------------------------------------------------------------------------
  1. El Cogulló de Cabra                      → el Cogulló                                 879 m      9 m
  2. El Tossal Gros                           → Tossal Gros                                867 m      1 m
  3. Tossa Grossa de Montferri                → Tossa Grossa de Montferri                  387 m      1 m
  4. Bassegoda                                → Puig de Bassegoda                         1373 m      4 m
  5. Castell Saverdera                        → Sant Salvador Saverdera                    682 m      2 m
  6. El Mont                                  → el Mont                                   1125 m      4 m
  7. Puig Neulós                              → Puig Neulós                               1257 m      6 m
  8. Roc del Comptador                        → Roc del Comptador                         1451 m      1 m
  9. El Castelllot                            → el Castellot                               465 m      5 m
 10. Penya del Papiol                         → Penya del Papiol                           381 m      1 m
 11. Cap del Verd                             → Cap del Verd                              2284 m      1 m
 12. Cogulló de Turp                          → Pic de Turp                               1620 m      1 m
 13. El Coscollet                             → lo Coscollet                              1610 m      1 m
 14. Monturull                                → Monturull                                 2760 m     32 m
 15. Pic d’Enclar (Bony de la Pica)           → Bony de la Pica                           2402 m     37 m
 16. Pic de Salòria                           → Pic de Salòria                            2789 m      1 m
 17. Sant Honorat                             → Roques de Sant Honorat                    1068 m     92 m
 18. Santa Fe                                 → Santa Fe                                  1211 m      1 m
 19. Vulturó                                  → Puig de la Canal Baridana (Vulturó)       2649 m      1 m
 20. Gran Tuc de Colomers                     → Gran Tuc de Colomèrs                      2933 m      1 m
 21. Lo Corronco                              → el Corronco                               2543 m     10 m
 22. Pala del Teller                          → Pala del Teller                           1889 m      2 m
 23. Pic de Comaloforno                       → Pic de Comaloforno                        3029 m      0 m
 24. Punta Alta                               → Punta Alta de Comalesbienes               3014 m     10 m
 25. Tossal de les Roies de Cardet            → Tossal de les Roies de Cardet             2445 m      1 m
 26. Montgròs                                 → Montgròs                                  1133 m      2 m
 27. Puig de Sant Miquel                      → Puig de Sant Miquel                        733 m      1 m
 28. Sant Jeroni                              → Sant Jeroni                               1238 m      1 m
 29. Collbaix                                 → Collbaix                                   544 m      1 m
 30. Montcau                                  → Montcau                                   1056 m     11 m
